0.0000	-0.202759	-0.000386	9.804492	-0.030625	0.019228	0.027891	-0.508152	0.133059	-0.535888
0.0050	-0.209689	0.006434	9.812574	-0.017957	0.029686	0.032157	-0.508149	0.135493	-0.535073
0.0100	-0.230195	0.008054	9.814761	-0.016746	0.019056	0.036286	-0.510082	0.134125	-0.535635
0.0150	-0.208486	0.007043	9.802399	-0.026476	0.041303	0.033281	-0.511360	0.133749	-0.537351
0.0200	-0.201172	0.002441	9.819123	-0.016927	0.023417	0.027919	-0.508083	0.132083	-0.535007
0.0250	-0.200408	-0.004366	9.797656	-0.014762	0.021266	0.030004	-0.508158	0.134873	-0.537951
0.0300	-0.214117	0.004170	9.796885	-0.029422	0.024332	0.038418	-0.509145	0.133913	-0.537411
0.0350	-0.213683	0.014458	9.805931	-0.018925	0.025413	0.035277	-0.508769	0.134450	-0.535877
0.0400	-0.226691	0.012135	9.797213	-0.023037	0.010642	0.035182	-0.509303	0.133482	-0.535169
0.0450	-0.216493	0.013312	9.802048	-0.018666	0.023077	0.048905	-0.508944	0.132970	-0.534265
0.0500	-0.208501	0.014510	9.796786	-0.008441	0.023362	0.030017	-0.509425	0.134524	-0.534394
0.0550	-0.211991	0.012160	9.810393	-0.024091	0.027417	0.042636	-0.510865	0.132961	-0.534189
0.0600	-0.205071	0.012233	9.796697	-0.014580	0.031582	0.044762	-0.507917	0.134638	-0.536441
0.0650	-0.206197	0.011659	9.795594	-0.027481	0.051743	0.040694	-0.507900	0.133100	-0.536631
0.0700	-0.203908	0.006502	9.798904	-0.020725	0.020936	0.050989	-0.508022	0.134142	-0.535855
0.0750	-0.210844	0.009870	9.811486	-0.010415	0.044207	0.046942	-0.508625	0.134149	-0.536029
0.0800	-0.206685	0.002495	9.793319	-0.032274	0.053329	0.009221	-0.508288	0.135940	-0.534765
0.0850	-0.190103	-0.010038	9.794007	-0.016869	0.025460	0.032129	-0.508442	0.133661	-0.535583
0.0900	-0.203804	-0.001499	9.792109	-0.023134	0.023312	0.035264	-0.509716	0.134653	-0.536812
0.0950	-0.206241	0.006465	9.807418	-0.013417	0.012609	0.042541	-0.509018	0.133189	-0.535467
0.1000	-0.219993	0.018430	9.809479	-0.018522	0.018749	0.055173	-0.507772	0.134792	-0.536431
0.1050	-0.213004	0.007613	9.796870	-0.029249	0.021026	0.046792	-0.507608	0.137958	-0.537699
