0.0000	1.334515	-1.343619	-146.967010
0.0050	1.327771	-1.339988	-146.961624
0.0100	1.318615	-1.332026	-146.956497
0.0150	1.314801	-1.325312	-146.949875
0.0200	1.308253	-1.322918	-146.948593
0.0250	1.303578	-1.325215	-146.945236
0.0300	1.304477	-1.324564	-146.941269
0.0350	1.301476	-1.330255	-146.933792
0.0400	1.296749	-1.329560	-146.931763
0.0450	1.288705	-1.329872	-146.927277
0.0500	1.281713	-1.327878	-146.926193
0.0550	1.269032	-1.326070	-146.923279
0.0600	1.263917	-1.325192	-146.923553
0.0650	1.258349	-1.319524	-146.922226
0.0700	1.254921	-1.316630	-146.920883
0.0750	1.249269	-1.309482	-146.924042
0.0800	1.241895	-1.307320	-146.921722
0.0850	1.235571	-1.304131	-146.919052
0.0900	1.226396	-1.299153	-146.913834
0.0950	1.217121	-1.289500	-146.909744
0.1000	1.212837	-1.279823	-146.903336
0.1050	1.206425	-1.272426	-146.899017
0.1100	1.201696	-1.266661	-146.899567
0.1150	1.200121	-1.260326	-146.900406
0.1200	1.197532	-1.253794	-146.893600
0.1250	1.193973	-1.245317	-146.889175
0.1300	1.190962	-1.240998	-146.888779
0.1350	1.181289	-1.239389	-146.890976
0.1400	1.177252	-1.239189	-146.891571
0.1450	1.174704	-1.235496	-146.888931
0.1500	1.168274	-1.237839	-146.890198
0.1550	1.162689	-1.232746	-146.883423
0.1600	1.164725	-1.232563	-146.878189
0.1650	1.161870	-1.232785	-146.874115
0.1700	1.156160	-1.231075	-146.876785
0.1750	1.150770	-1.229946	-146.874084
0.1800	1.146488	-1.229787	-146.875534
0.1850	1.140184	-1.228668	-146.875961
0.1900	1.139829	-1.226100	-146.878235
0.1950	1.134511	-1.221611	-146.871857
0.2000	1.131066	-1.220262	-146.871292
0.2050	1.125629	-1.218497	-146.867767
0.2100	1.120718	-1.218620	-146.862350
0.2150	1.119091	-1.214400	-146.857773
0.2200	1.116859	-1.211032	-146.855469
0.2250	1.115520	-1.209596	-146.855164
0.2300	1.106702	-1.203588	-146.850021
0.2350	1.105020	-1.198418	-146.841324
0.2400	1.103578	-1.195438	-146.837555
0.2450	1.101832	-1.196523	-146.831802
0.2500	1.098434	-1.200629	-146.830322
0.2550	1.095614	-1.200689	-146.827957
0.2600	1.088328	-1.201141	-146.824478
0.2650	1.086556	-1.204503	-146.820297
0.2700	1.085987	-1.212474	-146.819290
0.2750	1.084026	-1.211758	-146.814240
0.2800	1.079867	-1.211877	-146.818192
0.2850	1.076437	-1.207733	-146.815582
0.2900	1.081736	-1.207713	-146.809006
0.2950	1.079159	-1.208189	-146.807114
0.3000	1.077416	-1.206355	-146.797852
0.3050	1.081755	-1.204086	-146.787689
0.3100	1.079807	-1.205233	-146.782471
0.3150	1.081462	-1.205423	-146.779617
0.3200	1.076076	-1.205322	-146.776337
0.3250	1.069889	-1.201188	-146.772675
0.3300	1.069035	-1.195097	-146.770660
0.3350	1.065837	-1.191664	-146.767517
0.3400	1.064984	-1.187001	-146.768036
0.3450	1.060523	-1.191352	-146.766953
0.3500	1.059265	-1.190849	-146.768036
0.3550	1.062140	-1.187347	-146.766891
0.3600	1.063357	-1.183621	-146.765503
0.3650	1.060031	-1.179162	-146.762878
0.3700	1.055959	-1.181748	-146.758560
0.3750	1.049705	-1.180127	-146.753601
0.3800	1.046200	-1.177533	-146.759613
0.3850	1.044098	-1.172707	-146.756302
0.3900	1.043182	-1.170936	-146.751755
0.3950	1.041999	-1.170470	-146.751694
0.4000	1.042467	-1.166874	-146.751083
0.4050	1.041165	-1.162665	-146.757797
0.4100	1.037081	-1.160270	-146.754288
0.4150	1.032882	-1.149523	-146.756302
0.4200	1.029730	-1.144654	-146.757294
0.4250	1.028836	-1.140090	-146.755966
0.4300	1.024640	-1.138753	-146.753159
0.4350	1.017963	-1.137240	-146.755234
0.4400	1.021072	-1.137723	-146.757187
0.4450	1.020085	-1.141997	-146.757645
0.4500	1.020128	-1.140773	-146.753983
0.4550	1.020273	-1.141134	-146.754700
0.4600	1.018957	-1.139220	-146.753555
0.4650	1.015149	-1.138798	-146.750778
0.4700	1.012149	-1.136337	-146.750122
0.4750	1.009331	-1.133879	-146.750458
0.4800	1.011760	-1.132840	-146.748245
0.4850	1.010033	-1.132803	-146.747803
0.4900	1.010313	-1.129394	-146.749100
0.4950	1.010920	-1.132921	-146.745209
0.5000	1.008423	-1.131342	-146.746719
0.5050	1.002996	-1.132604	-146.747147
0.5100	1.004747	-1.130682	-146.746429
0.5150	1.009308	-1.126929	-146.747528
0.5200	1.009795	-1.123329	-146.745209
0.5250	1.008618	-1.116152	-146.741455
0.5300	1.006520	-1.114349	-146.741562
0.5350	1.004009	-1.113961	-146.742615
0.5400	1.000896	-1.114322	-146.742371
0.5450	0.993726	-1.113099	-146.741745
0.5500	0.998190	-1.115861	-146.735855
0.5550	0.993496	-1.114909	-146.732056
0.5600	0.989177	-1.115729	-146.729355
0.5650	0.985767	-1.115224	-146.725586
0.5700	0.979392	-1.117567	-146.719589
0.5750	0.970318	-1.121517	-146.718613
0.5800	0.963290	-1.120045	-146.715088
0.5850	0.958607	-1.119684	-146.711349
0.5900	0.950155	-1.119529	-146.709961
0.5950	0.941851	-1.121709	-146.709702
0.6000	0.937093	-1.120599	-146.710876
0.6050	0.932540	-1.117057	-146.720398
0.6100	0.927595	-1.119331	-146.727859
0.6150	0.918537	-1.117228	-146.734909
0.6200	0.915082	-1.111852	-146.738724
0.6250	0.913550	-1.108221	-146.742355
0.6300	0.905882	-1.107858	-146.747391
